#node          		Longitude              	Latitude
Sunnyvale       	-122.038258            	37.371612
Nashville           	-86.778365             	36.167783
Raleigh                 -78.642669             	35.785510
Chicago			-87.632409             	41.884150
El_Paso                 -106.487494            	31.759165
Denver                  -104.992259            	39.740010
Dallas              	-96.795404       	32.778155
Louisville          	-85.766404             	38.254860
Vancouver           	-123.114034            	49.260440
Washington		-77.031959             	38.890370
Indianapolis		-86.149964             	39.766910
Pittsburgh		-79.997459             	40.438335
Baton_Rouge		-91.186994 		30.443335
Albuquerque		-106.648639		35.084180
Los_Angeles		-118.245319		34.053490
Atlanta             	-84.391109 		33.748315
Memphis			-90.048929		35.149680
Jacksonville		-81.655799		30.331380
Miami			-80.237419		25.728985
Kansas_City		-94.583062		39.102960
Missoula		-113.996234		46.872780
Philadelphia		-75.162369		39.952270
Tucson			-110.969754		32.221553
Buffalo			-78.878464		42.885440
Houston			-95.369784		29.760450
Boston			-71.056699		42.358635
Minneapolis		-93.264929		44.979035
New_York		-74.007124		40.714550
Salt_Lake_City		-111.888229		40.759505
Cleveland		-81.690459		41.504365
Jackson			-90.180489             32.298690
Portland		-122.675629		45.511795
Seattle			-122.329439		47.603560
Ashburn			-77.483151		39.051631
